ds,lag1_level__m,lag3_level__m,lag7_level__m,lag14_level__m,belet_weyne_level__m,belet_weyne_lag1_level__m,belet_weyne_lag3_level__m,belet_weyne_lag7_level__m,belet_weyne_lag14_level__m,ethiopia_fafen_haren_precipitation_sum,ethiopia_fafen_haren_precipitation_hours,ethiopia_fafen_haren_lag1_precipitation_sum,ethiopia_fafen_haren_lag1_precipitation_hours,ethiopia_fafen_haren_lag3_precipitation_sum,ethiopia_fafen_haren_lag3_precipitation_hours,ethiopia_fafen_haren_lag7_precipitation_sum,ethiopia_fafen_haren_lag7_precipitation_hours,ethiopia_fafen_haren_lag14_precipitation_sum,ethiopia_fafen_haren_lag14_precipitation_hours,ethiopia_fafen_gebredarre_precipitation_sum,ethiopia_fafen_gebredarre_precipitation_hours,ethiopia_fafen_gebredarre_lag1_precipitation_sum,ethiopia_fafen_gebredarre_lag1_precipitation_hours,ethiopia_fafen_gebredarre_lag3_precipitation_sum,ethiopia_fafen_gebredarre_lag3_precipitation_hours,ethiopia_fafen_gebredarre_lag7_precipitation_sum,ethiopia_fafen_gebredarre_lag7_precipitation_hours,ethiopia_fafen_gebredarre_lag14_precipitation_sum,ethiopia_fafen_gebredarre_lag14_precipitation_hours,ethiopia_shabelle_gode_precipitation_sum,ethiopia_shabelle_gode_precipitation_hours,ethiopia_shabelle_gode_lag1_precipitation_sum,ethiopia_shabelle_gode_lag1_precipitation_hours,ethiopia_shabelle_gode_lag3_precipitation_sum,ethiopia_shabelle_gode_lag3_precipitation_hours,ethiopia_shabelle_gode_lag7_precipitation_sum,ethiopia_shabelle_gode_lag7_precipitation_hours,ethiopia_shabelle_gode_lag14_precipitation_sum,ethiopia_shabelle_gode_lag14_precipitation_hours,y
2022-01-02,1.42,1.44,1.45,1.48,1.65,1.65,1.66,1.7,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42
2022-01-03,1.42,1.44,1.44,1.48,1.65,1.65,1.66,1.68,1.72,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42
2022-01-04,1.42,1.42,1.44,1.47,1.62,1.65,1.65,1.68,1.72,0.70000005,4.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70000005,4.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
2022-01-05,1.4,1.42,1.44,1.47,1.62,1.62,1.65,1.66,1.72,0.0,0.0,0.70000005,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70000005,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
2022-01-06,1.4,1.42,1.44,1.45,1.62,1.62,1.65,1.66,1.7,0.2,2.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
2022-01-07,1.4,1.4,1.44,1.45,1.62,1.62,1.62,1.66,1.7,0.1,1.0,0.2,2.0,0.70000005,4.0,0.0,0.0,0.0,0.0,0.1,1.0,0.2,2.0,0.70000005,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
2022-01-08,1.4,1.4,1.42,1.45,1.6,1.62,1.62,1.65,1.7,1.5000001,7.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5000001,7.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
2022-01-09,1.4,1.4,1.42,1.45,1.6,1.6,1.62,1.65,1.7,0.0,0.0,1.5000001,7.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5000001,7.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
2022-01-10,1.4,1.4,1.42,1.44,1.6,1.6,1.62,1.65,1.68,0.0,0.0,0.0,0.0,0.1,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
2022-01-11,1.4,1.4,1.4,1.44,1.57,1.6,1.6,1.62,1.68,0.0,0.0,0.0,0.0,1.5000001,7.0,0.70000005,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5000001,7.0,0.70000005,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
